	name	contri	userType	prevReviewCount	prevPhotosReview	rating	reviewDate	reviewText	reviewDate2	formatted_date	location
1021	Abdullah Parekh	https://lh3.googleusercontent.com/a-/ACNPEu8osIZDJeTa2UR6Rc8XP-vv-2k_svcRw13L6M8LoA=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	0.0	0.0	3	6 years ago		2017-02-13 19:30:30.302796	02-13-2017	100_king_st
1022	Shankar Thothathiri	https://lh3.googleusercontent.com/a/ALm5wu1aXIN2-3F8smm2rftej3Mn1dTXrU46b-E_nU3d=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	22.0	214.0	4	4 years ago		2019-02-13 19:30:30.302796	02-13-2019	100_king_st
1023	Nicholas Deibler	https://lh3.googleusercontent.com/a/ALm5wu23hDTu-z-8fsOfJFU61LZa2PLjm_irhwE1_e-I=s40-c-c0x00000000-cc-rp-mo-ba2-br100	Local Guide	14.0	2.0	4	2 years ago		2021-02-12 19:30:30.303797	02-12-2021	100_king_st
1024	Muhammad Waseem (Waz)	https://lh3.googleusercontent.com/a-/ACNPEu90iw8EoKz3Wfevh6GKuCxMmJgSHgntEenZP-zmCgs=s40-c-c0x00000000-cc-rp-mo-ba5-br100	Local Guide	167.0	573.0	4	3 years ago		2020-02-13 19:30:30.303797	02-13-2020	100_king_st
1025	rabia idrees	https://lh3.googleusercontent.com/a-/ACNPEu_R_b656inJeAOkN8HqZGrYgz-zfVWS3iFZr4ntJAw=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	3.0	1.0	5	2 years ago		2021-02-12 19:30:30.303797	02-12-2021	100_king_st
1026	Matthew Bee	https://lh3.googleusercontent.com/a/ALm5wu0-ZJgP1HgfYP7lkfkTEvoUwkfcgTxrfUaHL6fv=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	10.0	9.0	5	2 years ago		2021-02-12 19:30:30.304796	02-12-2021	100_king_st
1027	Mahmod AL Dwaikat	https://lh3.googleusercontent.com/a/ALm5wu3eHZgfWFn1IhcUMjUKNoDLUE1qvUcmw-TdERvn=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	13.0	0.0	4	3 years ago		2020-02-13 19:30:30.304796	02-13-2020	100_king_st
1028	Nathalie St Onge	https://lh3.googleusercontent.com/a-/ACNPEu8zOAl5dZL9og3wsfvMrYNLbpSkEb8E539e4-kSyw=s40-c-c0x00000000-cc-rp-mo-ba2-br100	Local Guide	7.0	0.0	1	3 years ago		2020-02-13 19:30:30.305797	02-13-2020	100_king_st
1029	Miguel Romero Ceballos	https://lh3.googleusercontent.com/a-/ACNPEu8bTnNxI-mCgS69cNHKdJwx29hg_FSocx53a1jO1Q=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	166.0	5.0	5	4 years ago		2019-02-13 19:30:30.305797	02-13-2019	100_king_st
1030	Eric Chen	https://lh3.googleusercontent.com/a-/ACNPEu-lXQG5QrotjVTGgxYP1PnCSyv1_NKYcIvKSVvwUQ=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	5.0	11.0	5	2 years ago		2021-02-12 19:30:30.305797	02-12-2021	100_king_st
